Running: Dim=10, Cond=1
  Run 13: fmin = 2.0442e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 14: fmin = 5.1571e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 15: fmin = 7.2026e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 16: fmin = 5.1104e-02 | Evals = 999915 | Best so far = 7.4092e-07
  Run 17: fmin = 1.0310e+00 | Evals = 999915 | Best so far = 7.4092e-07
  Run 18: fmin = 8.1904e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 19: fmin = 8.1904e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 20: fmin = 4.1336e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 21: fmin = 5.1571e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 22: fmin = 4.1336e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 23: fmin = 1.0330e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 24: fmin = 1.2893e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 25: fmin = 4.1322e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 26: fmin = 1.7989e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 27: fmin = 4.1322e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 28: fmin = 4.8680e-01 | Evals = 999915 | Best so far = 7.4092e-07
  Run 29: fmin = 1.0270e+00 | Evals = 999915 | Best so far = 7.4092e-07

Running: Dim=30, Cond=1
  Run 0: fmin = 9.0036e-07 | Evals = 349215 | Best so far = 9.0036e-07
  Run 1: fmin = 7.3374e-07 | Evals = 338115 | Best so far = 7.3374e-07
  Run 2: fmin = 5.3849e-07 | Evals = 337915 | Best so far = 5.3849e-07
  Run 3: fmin = 8.1408e-07 | Evals = 331115 | Best so far = 5.3849e-07
  Run 4: fmin = 9.8105e-07 | Evals = 344115 | Best so far = 5.3849e-07
  Run 5: fmin = 7.7631e-07 | Evals = 336415 | Best so far = 5.3849e-07
  Run 6: fmin = 9.6946e-07 | Evals = 339215 | Best so far = 5.3849e-07
  Run 7: fmin = 8.0117e-07 | Evals = 336015 | Best so far = 5.3849e-07
  Run 8: fmin = 8.6292e-07 | Evals = 338515 | Best so far = 5.3849e-07
  Run 9: fmin = 7.6793e-07 | Evals = 329715 | Best so far = 5.3849e-07
  Run 10: fmin = 8.2128e-07 | Evals = 338315 | Best so far = 5.3849e-07
  Run 11: fmin = 9.4092e-07 | Evals = 325615 | Best so far = 5.3849e-07
  Run 12: fmin = 9.1108e-07 | Evals = 332615 | Best so far = 5.3849e-07
  Run 13: fmin = 7.9895e-07 | Evals = 343215 | Best so far = 5.3849e-07
  Run 14: fmin = 9.8883e-07 | Evals = 331615 | Best so far = 5.3849e-07
  Run 15: fmin = 7.6334e-07 | Evals = 336115 | Best so far = 5.3849e-07
  Run 16: fmin = 8.6837e-07 | Evals = 336015 | Best so far = 5.3849e-07
  Run 17: fmin = 8.6508e-07 | Evals = 336515 | Best so far = 5.3849e-07
  Run 18: fmin = 6.8743e-07 | Evals = 334215 | Best so far = 5.3849e-07
  Run 19: fmin = 5.5528e-07 | Evals = 334615 | Best so far = 5.3849e-07
  Run 20: fmin = 8.3032e-07 | Evals = 326615 | Best so far = 5.3849e-07
  Run 21: fmin = 8.9370e-07 | Evals = 340715 | Best so far = 5.3849e-07
  Run 22: fmin = 6.5087e-07 | Evals = 330515 | Best so far = 5.3849e-07
  Run 23: fmin = 7.2304e-07 | Evals = 336415 | Best so far = 5.3849e-07
  Run 24: fmin = 9.5296e-07 | Evals = 339815 | Best so far = 5.3849e-07
  Run 25: fmin = 8.5879e-07 | Evals = 346115 | Best so far = 5.3849e-07
  Run 26: fmin = 7.5823e-07 | Evals = 340315 | Best so far = 5.3849e-07
  Run 27: fmin = 7.6073e-07 | Evals = 339115 | Best so far = 5.3849e-07
  Run 28: fmin = 6.8424e-07 | Evals = 342715 | Best so far = 5.3849e-07
  Run 29: fmin = 7.4181e-07 | Evals = 342515 | Best so far = 5.3849e-07

Running: Dim=30, Cond=100
  Run 0: fmin = 8.9895e-07 | Evals = 314715 | Best so far = 8.9895e-07
  Run 1: fmin = 9.8788e-07 | Evals = 302015 | Best so far = 8.9895e-07
  Run 2: fmin = 8.5936e-07 | Evals = 310515 | Best so far = 8.5936e-07
  Run 3: fmin = 8.7926e-07 | Evals = 311815 | Best so far = 8.5936e-07
  Run 4: fmin = 8.5473e-07 | Evals = 306215 | Best so far = 8.5473e-07
  Run 5: fmin = 9.5275e-07 | Evals = 307715 | Best so far = 8.5473e-07
  Run 6: fmin = 9.1402e-07 | Evals = 316815 | Best so far = 8.5473e-07
  Run 7: fmin = 7.4109e-07 | Evals = 312415 | Best so far = 7.4109e-07
  Run 8: fmin = 9.6716e-07 | Evals = 315615 | Best so far = 7.4109e-07
  Run 9: fmin = 9.4735e-07 | Evals = 316715 | Best so far = 7.4109e-07
  Run 10: fmin = 8.2751e-07 | Evals = 316215 | Best so far = 7.4109e-07
  Run 11: fmin = 8.6584e-07 | Evals = 317515 | Best so far = 7.4109e-07
  Run 12: fmin = 8.9139e-07 | Evals = 313615 | Best so far = 7.4109e-07
  Run 13: fmin = 7.7941e-07 | Evals = 313815 | Best so far = 7.4109e-07
  Run 14: fmin = 7.7663e-07 | Evals = 315315 | Best so far = 7.4109e-07
  Run 15: fmin = 7.9109e-07 | Evals = 309315 | Best so far = 7.4109e-07
  Run 16: fmin = 5.0244e-07 | Evals = 313715 | Best so far = 5.0244e-07
  Run 17: fmin = 9.0924e-07 | Evals = 301615 | Best so far = 5.0244e-07
  Run 18: fmin = 8.9141e-07 | Evals = 311215 | Best so far = 5.0244e-07
  Run 19: fmin = 9.4240e-07 | Evals = 302215 | Best so far = 5.0244e-07
  Run 20: fmin = 8.4389e-07 | Evals = 316615 | Best so far = 5.0244e-07
  Run 21: fmin = 8.4076e-07 | Evals = 307415 | Best so far = 5.0244e-07
  Run 22: fmin = 9.1374e-07 | Evals = 309115 | Best so far = 5.0244e-07
  Run 23: fmin = 9.9564e-07 | Evals = 315915 | Best so far = 5.0244e-07
  Run 24: fmin = 9.5690e-07 | Evals = 313615 | Best so far = 5.0244e-07
  Run 25: fmin = 8.1536e-07 | Evals = 314115 | Best so far = 5.0244e-07
  Run 26: fmin = 7.8115e-07 | Evals = 313015 | Best so far = 5.0244e-07
  Run 27: fmin = 8.0333e-07 | Evals = 317215 | Best so far = 5.0244e-07
  Run 28: fmin = 7.1534e-07 | Evals = 312215 | Best so far = 5.0244e-07
  Run 29: fmin = 9.6580e-07 | Evals = 318315 | Best so far = 5.0244e-07

Running: Dim=30, Cond=10000
  Run 0: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.4321e-01
  Run 1: fmin = 5.5322e-07 | Evals = 316715 | Best so far = 5.5322e-07
  Run 2: fmin = 2.7015e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 3: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 4: fmin = 2.7015e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 5: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 6: fmin = 2.7015e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 7: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 8: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 9: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 10: fmin = 1.0806e+00 | Evals = 999915 | Best so far = 5.5322e-07
  Run 11: fmin = 1.0806e+00 | Evals = 999915 | Best so far = 5.5322e-07
