
Running: Dim=10, Cond=1
  Run 12: fmin = 1.2893e-01 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 13: fmin = 4.1322e-01 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 14: fmin = 1.4416e+00 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 15: fmin = 1.0330e-01 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 16: fmin = 2.5861e+00 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 17: fmin = 4.1336e-01 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 18: fmin = 1.8251e+00 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 19: fmin = 2.4208e+00 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 20: fmin = 1.2893e-01 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 21: fmin = 8.1904e-01 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 22: fmin = 7.2026e-01 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 23: fmin = 2.4208e+00 | Evals = 1000001 | Best so far = 1.0330e-01
  Run 24: fmin = 7.8953e-07 | Evals = 2466 | Best so far = 7.8953e-07
  Run 25: fmin = 6.4189e+00 | Evals = 1000001 | Best so far = 7.8953e-07
  Run 26: fmin = 1.4360e+00 | Evals = 1000001 | Best so far = 7.8953e-07
  Run 27: fmin = 5.1571e-01 | Evals = 1000001 | Best so far = 7.8953e-07
  Run 28: fmin = 5.1104e-02 | Evals = 1000001 | Best so far = 7.8953e-07
  Run 29: fmin = 9.0440e-01 | Evals = 1000001 | Best so far = 7.8953e-07

Running: Dim=30, Cond=1
  Run 0: fmin = 4.0000e+00 | Evals = 1000001 | Best so far = 4.0000e+00
  Run 1: fmin = 6.0000e+00 | Evals = 1000001 | Best so far = 4.0000e+00
  Run 2: fmin = 8.7827e-07 | Evals = 3112 | Best so far = 8.7827e-07
  Run 3: fmin = 4.0000e+00 | Evals = 1000001 | Best so far = 8.7827e-07
  Run 4: fmin = 4.0000e+00 | Evals = 1000001 | Best so far = 8.7827e-07
  Run 5: fmin = 3.0000e+00 | Evals = 1000001 | Best so far = 8.7827e-07
  Run 6: fmin = 3.0000e+00 | Evals = 1000001 | Best so far = 8.7827e-07
  Run 7: fmin = 8.6722e-07 | Evals = 3277 | Best so far = 8.6722e-07
  Run 8: fmin = 2.0000e+00 | Evals = 1000001 | Best so far = 8.6722e-07
  Run 9: fmin = 8.4903e-07 | Evals = 3212 | Best so far = 8.4903e-07
  Run 10: fmin = 3.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 11: fmin = 9.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 12: fmin = 9.9895e-07 | Evals = 3155 | Best so far = 8.4903e-07
  Run 13: fmin = 1.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 14: fmin = 5.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 15: fmin = 2.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 16: fmin = 1.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 17: fmin = 4.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 18: fmin = 4.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 19: fmin = 4.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 20: fmin = 1.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 21: fmin = 2.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 22: fmin = 6.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 23: fmin = 1.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 24: fmin = 8.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 25: fmin = 3.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 26: fmin = 2.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 27: fmin = 4.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 28: fmin = 2.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07
  Run 29: fmin = 1.0000e+00 | Evals = 1000001 | Best so far = 8.4903e-07

Running: Dim=30, Cond=100
  Run 0: fmin = 1.2188e+01 | Evals = 1000001 | Best so far = 1.2188e+01
  Run 1: fmin = 1.6440e+00 | Evals = 1000001 | Best so far = 1.6440e+00
  Run 2: fmin = 3.7473e+00 | Evals = 1000001 | Best so far = 1.6440e+00
  Run 3: fmin = 5.7837e+00 | Evals = 1000001 | Best so far = 1.6440e+00
  Run 4: fmin = 2.9775e+00 | Evals = 1000001 | Best so far = 1.6440e+00
  Run 5: fmin = 1.3596e+01 | Evals = 1000001 | Best so far = 1.6440e+00
  Run 6: fmin = 9.8964e-07 | Evals = 5557 | Best so far = 9.8964e-07
  Run 7: fmin = 5.7065e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 8: fmin = 6.2558e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 9: fmin = 7.2354e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 10: fmin = 8.9266e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 11: fmin = 5.7609e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 12: fmin = 2.8844e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 13: fmin = 1.1446e+01 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 14: fmin = 1.0239e+01 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 15: fmin = 8.9103e-01 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 16: fmin = 6.2333e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 17: fmin = 1.7602e+01 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 18: fmin = 8.7462e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 19: fmin = 5.3733e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 20: fmin = 3.6998e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 21: fmin = 1.1530e+01 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 22: fmin = 7.1340e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 23: fmin = 3.6062e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 24: fmin = 1.3320e+01 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 25: fmin = 5.9208e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 26: fmin = 6.5584e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 27: fmin = 9.4369e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 28: fmin = 9.3861e+00 | Evals = 1000001 | Best so far = 9.8964e-07
  Run 29: fmin = 1.8643e+00 | Evals = 1000001 | Best so far = 9.8964e-07

Running: Dim=30, Cond=10000
  Run 0: fmin = 5.6699e+00 | Evals = 1000001 | Best so far = 5.6699e+00
  Run 1: fmin = 9.9036e-07 | Evals = 9315 | Best so far = 9.9036e-07
  Run 2: fmin = 1.0778e+01 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 3: fmin = 7.1058e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 4: fmin = 1.0806e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 5: fmin = 3.1571e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 6: fmin = 3.4403e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 7: fmin = 4.7271e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 8: fmin = 7.4401e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 9: fmin = 3.8089e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 10: fmin = 2.4045e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 11: fmin = 6.3996e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 12: fmin = 4.2191e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 13: fmin = 2.7743e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 14: fmin = 3.4076e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 15: fmin = 1.0139e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 16: fmin = 3.6132e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 17: fmin = 3.4412e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 18: fmin = 1.7137e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 19: fmin = 5.0838e-01 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 20: fmin = 1.9948e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 21: fmin = 8.1343e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 22: fmin = 2.7743e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 23: fmin = 1.0139e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 24: fmin = 4.3986e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 25: fmin = 3.0314e+00 | Evals = 1000001 | Best so far = 9.9036e-07
