
Running: Dim=10, Cond=1
  Run 13: fmin = 8.9204e-07 | Evals = 2306 | Best so far = 8.9204e-07
  Run 14: fmin = 1.1603e+00 | Evals = 10001 | Best so far = 8.9204e-07
  Run 15: fmin = 8.1904e-01 | Evals = 10001 | Best so far = 8.9204e-07
  Run 16: fmin = 1.0270e+00 | Evals = 10001 | Best so far = 8.9204e-07
  Run 17: fmin = 1.1603e+00 | Evals = 10001 | Best so far = 8.9204e-07
  Run 18: fmin = 5.1104e-02 | Evals = 10001 | Best so far = 8.9204e-07
  Run 19: fmin = 8.1904e-01 | Evals = 10001 | Best so far = 8.9204e-07
  Run 20: fmin = 1.0330e-01 | Evals = 10001 | Best so far = 8.9204e-07
  Run 21: fmin = 1.2893e-01 | Evals = 10001 | Best so far = 8.9204e-07
  Run 22: fmin = 4.8680e-01 | Evals = 10001 | Best so far = 8.9204e-07
  Run 23: fmin = 1.7989e-01 | Evals = 10001 | Best so far = 8.9204e-07
  Run 24: fmin = 4.1336e-01 | Evals = 10001 | Best so far = 8.9204e-07
  Run 25: fmin = 7.2026e-01 | Evals = 10001 | Best so far = 8.9204e-07
  Run 26: fmin = 7.2026e-01 | Evals = 10001 | Best so far = 8.9204e-07
  Run 27: fmin = 1.7989e-01 | Evals = 10001 | Best so far = 8.9204e-07
  Run 28: fmin = 1.0310e+00 | Evals = 10001 | Best so far = 8.9204e-07
  Run 29: fmin = 4.8680e-01 | Evals = 10001 | Best so far = 8.9204e-07

Running: Dim=30, Cond=1
  Run 0: fmin = 7.4301e-07 | Evals = 3305 | Best so far = 7.4301e-07
  Run 1: fmin = 8.3123e-07 | Evals = 3383 | Best so far = 7.4301e-07
  Run 2: fmin = 7.4909e-07 | Evals = 3424 | Best so far = 7.4301e-07
  Run 3: fmin = 8.4497e-07 | Evals = 3334 | Best so far = 7.4301e-07
  Run 4: fmin = 9.3826e-07 | Evals = 3279 | Best so far = 7.4301e-07
  Run 5: fmin = 9.7510e-07 | Evals = 3313 | Best so far = 7.4301e-07
  Run 6: fmin = 7.3498e-07 | Evals = 3480 | Best so far = 7.3498e-07
  Run 7: fmin = 6.3449e-07 | Evals = 3308 | Best so far = 6.3449e-07
  Run 8: fmin = 9.2248e-07 | Evals = 3430 | Best so far = 6.3449e-07
  Run 9: fmin = 7.6789e-07 | Evals = 3273 | Best so far = 6.3449e-07
  Run 10: fmin = 8.3188e-07 | Evals = 3314 | Best so far = 6.3449e-07
  Run 11: fmin = 7.6033e-07 | Evals = 3417 | Best so far = 6.3449e-07
  Run 12: fmin = 6.6363e-07 | Evals = 3306 | Best so far = 6.3449e-07
  Run 13: fmin = 7.7493e-07 | Evals = 3322 | Best so far = 6.3449e-07
  Run 14: fmin = 7.8656e-07 | Evals = 3364 | Best so far = 6.3449e-07
  Run 15: fmin = 8.0728e-07 | Evals = 3412 | Best so far = 6.3449e-07
  Run 16: fmin = 8.8391e-07 | Evals = 3339 | Best so far = 6.3449e-07
  Run 17: fmin = 8.7063e-07 | Evals = 3310 | Best so far = 6.3449e-07
  Run 18: fmin = 9.4986e-07 | Evals = 3304 | Best so far = 6.3449e-07
  Run 19: fmin = 7.7432e-07 | Evals = 3371 | Best so far = 6.3449e-07
  Run 20: fmin = 8.7389e-07 | Evals = 3392 | Best so far = 6.3449e-07
  Run 21: fmin = 9.9360e-07 | Evals = 3411 | Best so far = 6.3449e-07
  Run 22: fmin = 4.0136e-07 | Evals = 3295 | Best so far = 4.0136e-07
  Run 23: fmin = 6.4068e-07 | Evals = 3426 | Best so far = 4.0136e-07
  Run 24: fmin = 9.8138e-07 | Evals = 3390 | Best so far = 4.0136e-07
  Run 25: fmin = 6.3211e-07 | Evals = 3386 | Best so far = 4.0136e-07
  Run 26: fmin = 8.5460e-07 | Evals = 3301 | Best so far = 4.0136e-07
  Run 27: fmin = 9.3974e-07 | Evals = 3126 | Best so far = 4.0136e-07
  Run 28: fmin = 8.4195e-07 | Evals = 3503 | Best so far = 4.0136e-07
  Run 29: fmin = 9.2495e-07 | Evals = 3412 | Best so far = 4.0136e-07

Running: Dim=30, Cond=100
  Run 0: fmin = 8.6851e-07 | Evals = 3146 | Best so far = 8.6851e-07
  Run 1: fmin = 9.6335e-07 | Evals = 3113 | Best so far = 8.6851e-07
  Run 2: fmin = 9.3936e-07 | Evals = 3153 | Best so far = 8.6851e-07
  Run 3: fmin = 8.2871e-07 | Evals = 3062 | Best so far = 8.2871e-07
  Run 4: fmin = 9.7369e-07 | Evals = 3148 | Best so far = 8.2871e-07
  Run 5: fmin = 6.9690e-07 | Evals = 3219 | Best so far = 6.9690e-07
  Run 6: fmin = 7.8552e-07 | Evals = 3122 | Best so far = 6.9690e-07
  Run 7: fmin = 8.3478e-07 | Evals = 3177 | Best so far = 6.9690e-07
  Run 8: fmin = 6.7716e-07 | Evals = 3140 | Best so far = 6.7716e-07
  Run 9: fmin = 9.6411e-07 | Evals = 3150 | Best so far = 6.7716e-07
  Run 10: fmin = 9.7719e-07 | Evals = 3166 | Best so far = 6.7716e-07
  Run 11: fmin = 8.6199e-07 | Evals = 3165 | Best so far = 6.7716e-07
  Run 12: fmin = 9.6711e-07 | Evals = 3085 | Best so far = 6.7716e-07
  Run 13: fmin = 8.3140e-07 | Evals = 3080 | Best so far = 6.7716e-07
  Run 14: fmin = 9.8624e-07 | Evals = 3116 | Best so far = 6.7716e-07
  Run 15: fmin = 9.3107e-07 | Evals = 3181 | Best so far = 6.7716e-07
  Run 16: fmin = 8.7130e-07 | Evals = 3129 | Best so far = 6.7716e-07
  Run 17: fmin = 8.5533e-07 | Evals = 3136 | Best so far = 6.7716e-07
  Run 18: fmin = 9.3132e-07 | Evals = 3159 | Best so far = 6.7716e-07
  Run 19: fmin = 9.8931e-07 | Evals = 3109 | Best so far = 6.7716e-07
  Run 20: fmin = 9.9305e-07 | Evals = 3134 | Best so far = 6.7716e-07
  Run 21: fmin = 9.4955e-07 | Evals = 3083 | Best so far = 6.7716e-07
  Run 22: fmin = 9.2144e-07 | Evals = 3119 | Best so far = 6.7716e-07
  Run 23: fmin = 9.9486e-07 | Evals = 3077 | Best so far = 6.7716e-07
  Run 24: fmin = 7.4414e-07 | Evals = 3068 | Best so far = 6.7716e-07
  Run 25: fmin = 8.6807e-07 | Evals = 3129 | Best so far = 6.7716e-07
  Run 26: fmin = 9.6504e-07 | Evals = 3160 | Best so far = 6.7716e-07
  Run 27: fmin = 8.2788e-07 | Evals = 3113 | Best so far = 6.7716e-07
